world_x,world_y,world_heading,local_vx,local_vy,slip_angle,yaw_rate,steer,throttle,hand_brake,brake
-18.24300766,-121.0608139,-92.04498291,21.36999738,0.01397456,0.037467634,3.823530197,0.008728249,1,0,0
-19.1752491,-121.2261124,-91.86959076,21.47894635,-0.003168451,-0.008451945,3.971230507,0.008728249,1,0,0
-20.09565926,-121.3811722,-91.6844101,21.59006717,-0.018945011,-0.050276311,4.083613873,0.008728249,1,0,0
-21.12655067,-121.5439148,-91.50267792,21.69633386,-0.032336361,-0.085393952,4.163402081,0.008728249,1,0,0
-22.08633041,-121.6873398,-91.31130219,21.80603108,-0.044455234,-0.116806851,4.224813938,0.008728249,1,0,0
-23.1668644,-121.8418121,-91.11241913,21.91820231,-0.055177237,-0.14423702,4.271959305,0.008728249,1,0,0
-24.18440056,-121.9809799,-90.92541504,22.02232885,-0.063743649,-0.165842221,4.305474281,0.008728249,1,0,0
-25.29344177,-122.1244049,-90.72689056,22.1317019,-0.071558281,-0.18525341,4.332643032,0.008728249,1,0,0
-26.41989899,-122.2599869,-90.52894592,22.23971469,-0.078235557,-0.201556041,4.354288578,0.008728249,1,0,0
-27.24467278,-122.3536072,-90.33757782,22.3433451,-0.083972871,-0.215333402,4.366791725,0.008627533,1,0,0
-28.20139885,-122.4572372,-90.1472702,22.44701034,-0.091481539,-0.233504465,4.291676998,0.007586815,1,0,0
-29.26957893,-122.5670776,-89.96469116,22.55061818,-0.101341141,-0.257482108,4.058282375,0.006243978,1,0,0
-30.14761353,-122.6526413,-89.79393005,22.65630853,-0.11303343,-0.285849077,3.625999212,0.003558365,1,0,0
-31.01954079,-122.7334518,-89.64996338,22.76235198,-0.126041478,-0.31725944,2.925287962,0.00050354,1,0,0
-32.02800369,-122.821785,-89.61029053,22.79730908,-0.129806222,-0.326234486,2.647496223,-0.000469971,1,0,0
-32.91949081,-122.8952713,-89.54293823,22.86881553,-0.135315584,-0.339017188,2.040104628,-0.002047732,1,0,0
-33.78412628,-122.9624405,-89.47865295,22.97123862,-0.13600589,-0.339227357,1.172627926,-0.003390516,1,0,0
-34.67499161,-123.0274277,-89.44849396,23.07477103,-0.126005175,-0.312873877,0.44214198,-0.003491225,1,0,0
-35.69430161,-123.0965271,-89.44532776,23.17512033,-0.109520988,-0.270766394,-0.104864292,-0.003491225,1,0,0
-36.72712708,-123.1608353,-89.4624939,23.27607025,-0.089799906,-0.221048061,-0.528879941,-0.003491225,1,0,0
-37.84988785,-123.2242584,-89.49517059,23.37673361,-0.069451063,-0.170222292,-0.851413429,-0.003491225,1,0,0
-38.74847794,-123.2701569,-89.53929901,23.47645571,-0.050022694,-0.122083375,-1.09293282,-0.003491225,1,0,0
-40.01334,-123.3274841,-89.59194946,23.57549667,-0.032261861,-0.078406294,-1.272642374,-0.003491225,1,0,0
-41.27425385,-123.3762054,-89.65078735,23.67379504,-0.016550146,-0.040054981,-1.40525806,-0.003491225,1,0,0
-42.20478058,-123.4067764,-89.72106934,23.78184749,-0.001760658,-0.004241818,-1.510369062,-0.003491225,1,0,0
-43.38834,-123.4390335,-89.79181671,23.88447536,0.010055449,0.024121726,-1.582209706,-0.003491225,1,0,0
-44.36298752,-123.4600143,-89.81551361,23.98426595,-0.000211814,-0.000506,-1.601049662,-0.003491225,1,0,0
-45.55867386,-123.47892,-89.8635788,23.98425769,0.019908482,0.047559186,-1.63278389,-0.003491225,1,0,0
-46.51010513,-123.4885788,-89.93471527,24.08043815,0.027724265,0.065965689,-1.667573333,-0.003491225,1,0,0
-47.71235275,-123.493988,-90.03118896,24.20779917,0.035978776,0.085155637,-1.699113965,-0.003491225,1,0,0
-48.60298538,-123.4939728,-90.10411072,24.30246572,0.040820432,0.096238642,-1.715051651,-0.003491225,1,0,0
-49.58508682,-123.4914703,-90.12932587,24.33492749,0.042280805,0.099548654,-1.719437957,-0.003491225,1,0,0
-50.43684769,-123.4872742,-90.15405273,24.36658607,0.04362777,0.10258657,-1.723248839,-0.003491225,1,0,0
-51.44681549,-123.4809036,-90.20166016,24.42736928,0.045921251,0.107710774,-1.729489446,-0.003491225,1,0,0
-52.31700516,-123.4749374,-90.30157471,24.55249716,0.048442132,0.113044557,-1.785841703,-0.004028342,1,0,0
-53.29740524,-123.4676743,-90.38409424,24.64459171,0.042858327,0.099640474,-2.088079929,-0.007519673,1,0,0
-54.17152405,-123.4608459,-90.41549683,24.67424506,0.038284002,0.08889877,-2.303296328,-0.009500408,1,0,0
-55.03316879,-123.4539108,-90.45270538,24.69283202,0.031765892,0.073707647,-2.618657827,-0.011984827,1,0,0
-55.89354706,-123.4473801,-90.60818481,24.648589,0.003344155,0.007773506,-4.222049236,-0.022629594,1,0,0
-56.89205551,-123.4406357,-90.87554932,24.66842147,-0.029247667,-0.067931672,-6.90992403,-0.034623813,1,0,0
-57.92915344,-123.4344711,-90.99807739,24.68274425,-0.040430708,-0.09385127,-8.087897301,-0.040540375,1,0,0
-58.85429382,-123.4297714,-91.46954346,24.73124578,-0.080453673,-0.186389305,-12.624547,-0.066127017,1,0,0
-59.85290527,-123.4256134,-92.16551208,24.77604689,-0.121009819,-0.279838707,-18.94930267,-0.099049442,1,0,0
-60.83964539,-123.4224548,-93.1663208,24.8117293,-0.120316294,-0.277834803,-26.45463371,-0.126895308,1,0,0
-61.86553574,-123.4201889,-94.50292206,24.82336902,-0.079339271,-0.183125424,-35.08274841,-0.169440866,1,0,0
-62.77082825,-123.4190521,-96.2036438,24.79772983,0.015044441,0.034760555,-44.47872543,-0.215856433,1,0,0
-63.7808342,-123.4187088,-98.96841431,24.71676499,0.26632739,0.617347989,-56.02828979,-0.261778623,1,0,0
-64.67203522,-123.4192352,-101.5223618,24.59927354,0.545684408,1.270780908,-64.32633209,-0.291813523,1,0,0
-65.68796539,-123.4207916,-102.3907928,24.55349265,0.650088551,1.516632752,-66.65441132,-0.309714139,1,0,0
-66.59831238,-123.4230347,-103.2804413,24.50301469,0.758518743,1.77308995,-68.86772919,-0.320526719,1,0,0
-67.6057663,-123.4264755,-106.3088989,24.30428665,1.142726106,2.691920272,-75.13243103,-0.362436861,1,0,0
-68.47574615,-123.4302216,-109.5870056,24.05936246,1.575540704,3.746696372,-80.0307312,-0.38817355,1,0,0
